NAME,P_201101,P_201201,P_201301,P_201401,P_201501,P_201601,P_201701,P_201801,EPS_2012,EPS_2013,EPS_2014,EPS_2015,EPS_2016,EPS_2017,GPM_2012,GPM_2013,GPM_2014,GPM_2015,GPM_2016,GPM_2017,Ops_2012,Ops_2013,Ops_2014,Ops_2015,Ops_2016,Ops_2017,EBIT_2012,EBIT_2013,EBIT_2014,EBIT_2015,EBIT_2016,EBIT_2017,NPM_2012,NPM_2013,NPM_2014,NPM_2015,NPM_2016,NPM_2017,IBD_2012,IBD_2013,IBD_2014,IBD_2015,IBD_2016,IBD_2017,ROE_2012,ROE_2013,ROE_2014,ROE_2015,ROE_2016,ROE_2017,ROA_2012,ROA_2013,ROA_2014,ROA_2015,ROA_2016,ROA_2017,DPS_2012,DPS_2013,DPS_2014,DPS_2015,DPS_2016,DPS_2017,BV_2012,BV_2013,BV_2014,BV_2015,BV_2016,BV_2017,Payout_2012,Payout_2013,Payout_2014,Payout_2015,Payout_2016,Payout_2017,CAGR_P,CAGR_EPS,CAGR_GPM,CAGR_Ops,CAGR_EBIT,CAGR_NPM,CAGR_IRD,CAGR_ROE,CAGR_ROA,CAGR_DPS,CAGR_BV,CAGR_Payout,sector,sector_code,business_group
SSSC,33,32.5,51.75,50,44.75,34,39.75,3.8,0.73,0.77,0.51,0.31,0.43,0.31,15.34,16.36,13.46,12.62,15.07,12.37,5.41,4.7,6.1,6.42,5.82,5.68,0.12,0.1,0.11,0.15,0.07,0.16,7.01,7.8,5.9,4.13,6.09,4.2,0.93,0.62,0.43,0.29,0.13,0.17,22.86,21.31,13.09,7.77,10.5,7.24,10.08,10.49,7.49,4.94,7.42,5.36,0.36,0.38,0.26,0.16,0.22,0.17,3.42,3.82,3.94,4,4.28,4.37,49.66,49.29,51.18,51.78,50.69,52.7,4.109594373,-15.45868239,-4.21402145,0.978802,5.218692546,-9.748387253,-29.10520009,-20.5376857,-11.85130563,-14.44679403,5.031180099,1.196915767,สินค้าอุตสาหกรรม,,เหล็ก
STA,36,17.8,18.8,12.4,12.9,10,23.4,14.7,1.04,1.37,0.78,0.84,-0.57,-1.05,4.79,5.64,4.43,5.75,7.01,4.22,3.44,3.2,4.32,2.81,3.17,3.94,0.64,0.41,-1.28,-13.8,-1.02,-1.35,1.38,1.97,1.37,1.82,-0.98,-1.61,0.79,0.98,0.68,0.9,1.6,1.41,7.5,9.39,5.14,5.36,-3.69,-6.72,3.57,4.5,2.53,2.74,-1.52,-2.48,0.48,0.63,0.39,,0.39,0.4,14.19,14.98,15.43,15.99,14.94,14.91,46.3,45.78,49.38,,-67.79,-38.1,5.623163548,-200.1800157,-2.489671618,2.751355,-216.0275099,-203.0433716,12.34811878,-197.843706,-192.9891416,-3.652901776,0.998796338,-196.17397,เกษตรและอุตสาหกรรมอาหาร,,ธุรกิจการเกษตร
STANLY,182,145.5,216,206,215,170.5,190,223,20.97,19.41,15.11,17.01,16.58,21.65,22.39,21.31,18.01,16.33,17.57,18.49,5.81,7.05,7.7,7.4,7.34,8.1,,,,,,,14.18,14.49,12.16,12.21,11.53,12.55,,,,,,,17.53,14.39,10.35,10.84,9.83,11.9,14.77,12.27,8.97,9.41,8.59,10.33,6.75,6,4.8,5,5,7,128.36,141.36,150.59,163.24,174.11,189.64,32.19,30.91,31.77,29.39,30.16,32.33,5.48194313,0.64029336,-3.755912917,6.871469,,-2.415950965,,-7.455668325,-6.90153719,0.73000452,8.118845035,0.089140399,สินค้าอุตสาหกรรม,,ยานยนต์
SUSCO,0.77,1.19,3.36,2.94,3.64,2.76,3.4,3.72,1,0.16,0.31,0.14,0.26,0.2,3.44,3.84,3.62,5.1,6.18,5.89,4.1,4.74,4.2,3.56,2.86,2.34,0.06,-0.88,0.38,0.3,0.11,0.06,6.68,0.77,1.4,0.81,1.5,0.96,0.91,0.64,0.48,0.3,0.19,0.16,56.23,7.05,12.15,5.11,8.82,6.41,24.86,2.95,6.09,2.93,5.36,3.95,0.12,0.12,0.08,0.08,0.11,0.02,2.23,2.44,2.69,2.82,3.05,3.27,12,75,25.81,57.14,42.31,10,23.36341725,-27.52203363,11.38641663,-10.6105,2.894767077,-32.16093251,-29.62773469,-35.22714571,-30.7692046,-30.11728812,7.941287599,-3.5807496,ทรัพยากร,,พลังงานและสาธารณูปโภค
TCC,3.46,3,2.5,0.91,1.85,1.51,1,0.56,0,-0.05,0.02,0.02,0.01,-0.05,11.76,11.22,12.62,12.54,14.27,9.41,8.02,6.27,30.19,14.32,9.57,11.11,2.48,0,0,,,,0.34,-5.69,1.74,1.77,0.79,-4.67,0.01,,,,0,0.05,0.49,-6.44,3.26,2.26,0.93,-7.29,0.39,-5.74,2.96,2.11,0.87,-5.87,,,,,,,0.86,0.7,0.72,0.74,0.67,0.62,,,,,,,-19.72584382,-265.5128361,-4.372760402,6.735266,,-268.4776854,32.54078302,-271.8507946,-271.9674746,,-6.170213785,,ทรัพยากร,,พลังงานและสาธารณูปโภค
TCCC,29.25,15.8,22,28.75,28.75,25.25,34.75,44,2.5,3.86,3.35,2.33,3.94,3.3,11.62,17.12,18.83,17.47,26.03,26,5.02,3.16,3.96,4.11,3.65,3.41,0.05,0.03,0.01,0.02,0.01,0.01,6.56,10.07,13.12,10.83,18.77,16.75,0.19,0.17,0.17,0,0,0,25.7,33.04,24.88,16.62,25.8,20,15.08,20.68,16.32,12.43,22.05,17.17,1.4,2.2,2.3,1.5,3.2,3.2,10.43,12.88,14.02,14.06,16.51,16.54,56,56.99,68.66,64.38,81.22,96.97,17.07375401,5.709686837,17.46667801,-7.44282,-28.46940414,20.62866182,-57.72652996,-4.893520824,2.635175446,17.97891247,9.672356366,11.60652917,สินค้าอุตสาหกรรม,,ปิโตรเคมีและเคมีภัณฑ์
TCJ,11.8,6.75,12.2,11.4,11.5,9.5,9.15,10.9,1.13,1.01,0.77,0.56,-0.03,0.33,15.01,18.39,16.09,18.43,18.09,19.84,12.09,12.85,15.39,9.77,8.65,9.22,0.58,0.45,0.56,0.5,1.02,0.45,5.01,5.74,4.41,3.36,-0.18,2.28,0.75,0.62,0.76,0.88,1.02,0.72,9.91,7.86,5.5,3.83,-0.17,2.34,3.91,3.54,2.55,1.71,-0.07,1.02,,0.05,0.05,,,,12.38,13.54,14.32,14.82,14.68,16.78,,4.71,6.1,,,,6.273128155,-21.72942814,5.740615073,-5.2758,-5.244869849,-14.60142306,-0.929631454,-25.09463264,-23.53369588,,6.265404575,,สินค้าอุตสาหกรรม,,วัสดุอุตสาหกรรมและเครื่องจักร
THE,0.53,0.41,3.78,3.9,5,9.85,9.35,4.34,0.01,-0.26,0.12,-0.88,0.5,0.18,1.74,-0.07,2.32,0.86,5.75,4.61,0.94,0.91,1.05,1,0.94,0.78,3.25,-0.38,0.63,-2.63,0.13,0.36,0.05,-1.76,0.56,-5.3,3.45,1.45,3.85,3.27,3,1.81,1.82,1.47,0.7,-20.61,10.99,-66.72,35.51,11.27,0.14,-4.26,2.36,-18.15,11.48,3.6,0.03,0.03,,,0.5,0.1,1.38,1.1,1.06,1.25,0.77,1.69,257.73,-9.79,,,100,55.56,86.89838595,79.34949335,21.49923332,-3.66295,-35.56924825,94.60379723,-17.58041716,74.56262704,90.3220131,31.95079108,4.168779428,-26.42812165,สินค้าอุตสาหกรรม,,เหล็ก
TIPCO,4.24,3.8,5.5,6.6,6.4,16.9,14,15.6,0.46,0.24,0.16,2.46,1.69,1.46,31.99,27.88,30.55,22.8,27.62,27.71,24.66,24.52,26.28,29.02,32.95,32.61,0.87,-1.4,-0.26,-1.75,0.66,0.25,4.07,2.05,1.41,25.41,15.43,14.43,1.14,1.05,0.94,0.54,0.34,0.37,10.48,5.02,3.32,40.32,21.3,16.64,3.76,1.88,1.33,19.43,12.03,10.22,,,,0.48,0.16,0.25,4.58,4.86,4.83,7.39,8.44,9.06,,,,19.51,9.47,17.12,29.79826514,26.05088213,-2.828175258,5.74785,-22.0836804,28.81528228,-20.10480971,9.678489248,22.13644887,,14.5943192,,เกษตรและอุตสาหกรรมอาหาร,,อาหารและเครื่องดื่ม
TMT,6.1,5.2,8.85,10.8,9.9,8.5,16.4,16.4,0.99,1.02,0.77,0.74,2.09,1.47,8.89,8.21,7.09,7.2,12.71,8.97,3.33,2.84,4.74,3.92,3.77,3.7,0.14,0.15,0.16,0.13,0.04,0.08,4.08,3.37,2.73,2.77,7.31,4.48,1.26,1.48,1.27,0.97,1.01,1.32,22.57,20.74,15.36,14.65,36.17,22.68,9.57,7.9,5.96,6.5,17.04,9.75,0.8,0.8,0.65,0.65,1.5,1.2,4.74,5.01,4.98,5.07,6.51,6.48,80.81,78.43,84.42,87.84,71.77,81.63,25.8253366,8.227201318,0.17670213,2.129569,-11.79490251,1.864211903,0.89209548,0.090029604,0.372577597,8.44717712,6.45374514,0.20325371,สินค้าอุตสาหกรรม,,เหล็ก
