Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy,Partner Economy Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB2,Education-related,A,Annual,A,Annual,USM,Million US dollar,2014,,,,145.753
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB2,Education-related,A,Annual,A,Annual,USM,Million US dollar,2015,,,,146.425
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB2,Education-related,A,Annual,A,Annual,USM,Million US dollar,2016,,,,167.712
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB2,Education-related,A,Annual,A,Annual,USM,Million US dollar,2017,,,,164.677
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB3,Other (Personal),A,Annual,A,Annual,USM,Million US dollar,2017,,,,53884.005
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB3,Other (Personal),A,Annual,A,Annual,USM,Million US dollar,2012,,,,29411.578
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB3,Other (Personal),A,Annual,A,Annual,USM,Million US dollar,2013,,,,36712.795
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB3,Other (Personal),A,Annual,A,Annual,USM,Million US dollar,2015,,,,40400.972
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB3,Other (Personal),A,Annual,A,Annual,USM,Million US dollar,2014,,,,34222.146
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB3,Other (Personal),A,Annual,A,Annual,USM,Million US dollar,2016,,,,44033.486
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE,Construction,A,Annual,A,Annual,USM,Million US dollar,2013,,,,817.18
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE,Construction,A,Annual,A,Annual,USM,Million US dollar,2012,,,,440.5
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE,Construction,A,Annual,A,Annual,USM,Million US dollar,2015,,,,533.03
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE,Construction,A,Annual,A,Annual,USM,Million US dollar,2014,,,,612.83
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE,Construction,A,Annual,A,Annual,USM,Million US dollar,2017,,,,358.09
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE,Construction,A,Annual,A,Annual,USM,Million US dollar,2016,,,,462.7
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE1,Construction abroad,A,Annual,A,Annual,USM,Million US dollar,2012,,,,440.5
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE1,Construction abroad,A,Annual,A,Annual,USM,Million US dollar,2017,,,,358.09
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE1,Construction abroad,A,Annual,A,Annual,USM,Million US dollar,2013,,,,817.18
