<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KTC19C1910A,20190916,0.1,0.11,0.1,0.11,366100
KTC19P2001A,20190916,0.2,0.2,0.19,0.19,300000
KTC24C2001A,20190916,0.5,0.51,0.5,0.51,200
KTC27C1911A,20190916,0.38,0.38,0.38,0.38,1580000
KTC27P1911A,20190916,0.15,0.15,0.15,0.15,4771000
KTC28C2002A,20190916,0.37,0.37,0.37,0.37,3158400
KTC41C2001A,20190916,0.39,0.39,0.39,0.39,100
KTC42C1911A,20190916,0.23,0.23,0.23,0.23,460000
LH01C1909A,20190916,0.18,0.18,0.17,0.17,9710800
LH01C1909B,20190916,0.01,0.02,0.01,0.02,10000
LH01C2003A,20190916,0.23,0.23,0.22,0.22,2847300
LH01P2003A,20190916,0.42,0.43,0.42,0.42,7863600
LH11C1911A,20190916,0.09,0.09,0.09,0.09,1701500
LH16C2002A,20190916,0.18,0.19,0.18,0.18,4066000
LH19C1911A,20190916,0.04,0.04,0.04,0.04,2000
MAJO06C2001A,20190916,0.17,0.17,0.17,0.17,205000
MAJO19C2002A,20190916,0.4,0.4,0.36,0.36,1070000
MBK13C1912A,20190916,0.35,0.35,0.34,0.34,924800
MBK19C1911A,20190916,0.24,0.24,0.22,0.22,858400
MEGA11C1910A,20190916,0.15,0.16,0.15,0.16,1300000
MEGA13C1912A,20190916,0.18,0.2,0.18,0.2,6015200
MEGA19C2001A,20190916,0.22,0.24,0.22,0.23,270000
MINT01C1911A,20190916,0.27,0.27,0.25,0.25,8222500
MINT01C1911B,20190916,0.16,0.16,0.14,0.15,11774300
MINT01P1911A,20190916,0.34,0.38,0.34,0.35,6487000
MINT06C2001A,20190916,0.16,0.16,0.14,0.14,2155000
MINT08C2003A,20190916,0.23,0.23,0.22,0.22,1848800
MINT11C1910A,20190916,0.12,0.12,0.11,0.11,3997000
MINT13C1911A,20190916,0.14,0.14,0.13,0.13,7798000
MINT13C1912A,20190916,0.1,0.1,0.1,0.1,1638400
MINT16C1911A,20190916,0.16,0.16,0.15,0.15,3928800
MINT16C2001A,20190916,0.21,0.21,0.19,0.19,4934800
MINT23C2001A,20190916,0.21,0.21,0.21,0.21,310000
MINT27C1912A,20190916,0.18,0.18,0.17,0.17,1377400
MINT27P1912A,20190916,0.19,0.19,0.19,0.19,527600
MINT28C2002A,20190916,0.17,0.17,0.16,0.16,4365900
MINT41C2001A,20190916,0.19,0.19,0.18,0.18,1200000
MINT41P1912A,20190916,0.23,0.23,0.23,0.23,1554000
MINT42C2002A,20190916,0.21,0.21,0.18,0.18,27800
MTC01C1912A,20190916,0.46,0.47,0.46,0.46,822100
MTC01C1912B,20190916,0.28,0.28,0.27,0.27,893800
MTC01P1912A,20190916,0.49,0.49,0.48,0.48,178600
MTC06C1912A,20190916,0.26,0.26,0.26,0.26,40000
MTC08C1911A,20190916,0.34,0.34,0.33,0.33,400000
MTC11C2002A,20190916,0.69,0.69,0.68,0.68,450500
MTC13C1910A,20190916,0.32,0.32,0.3,0.3,3053900
MTC13C1912A,20190916,0.28,0.28,0.27,0.27,4537500
MTC16C1911A,20190916,0.5,0.5,0.49,0.49,1198200
MTC19C1911A,20190916,0.13,0.13,0.13,0.13,601800
MTC19C2002A,20190916,0.45,0.45,0.44,0.44,460000
MTC23C1911A,20190916,0.39,0.4,0.39,0.39,679500
MTC24C1910A,20190916,0.19,0.19,0.18,0.18,169600
MTC24C1912A,20190916,0.87,0.87,0.87,0.87,127000
MTC27C1911A,20190916,0.46,0.46,0.45,0.45,480000
MTC27P1911A,20190916,0.1,0.1,0.1,0.1,1718200
MTC28C1910A,20190916,0.13,0.13,0.12,0.12,101400
MTC28C1912A,20190916,0.19,0.19,0.17,0.17,517500
MTC28C2002A,20190916,0.44,0.44,0.42,0.42,760500
ORI08C2001A,20190916,0.29,0.29,0.28,0.28,1186200
ORI11C1909A,20190916,0.2,0.2,0.19,0.19,1000
